sporadic,happening from time to time
derivative,unoriginal; obtained from another source
abysmal,extreme bad
woo,try to win
pivotal,of great importance (others depend on it)
cumbersome,burdensome; heavy and awkward to carry
braggart,boastful
cryptic,secret with a hidden meaning
animosity,strong dislike
abstruse,difficult to comprehend; obscure
defer,postpone
mite,A very small amount, portion, or particle"
correlate,have a mutual relation
impermeable,that cannot be permeated
appease,make quiet or calm
strive,to make great efforts, to struggle"
hospitable,liking to give hospitality
flimsy,lacking solidarity, strength"
articulate,speak distinctly; connect by joints
relapse,fall back again
ascend,go or come up
impede,hinder; get in the way of
sponge,porous rubber for washing live at once expense
edible,fit to be eaten/not poisonous
reconcile,settle a quarrel restore peace
paradigm,a model example or pattern
ingest,take in by swallowing
grievous,causing grief or pain; serious dire grave
commemorate,keep the memory of
boisterous,noisy; restraint
mischievous,harmful; causing mischief
ail,to cause pain, uneasiness, or trouble to."
warrant,authority written order guarantee
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
poseur,a person who attempts to impress by acting unlike himself
drowsiness,feeling sleepy half asleep
satiate,satisfy fully
audacious,Bold
fleet,number of ships; quick-moving
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
apt,well-suited; quick-witted
invincible,too strong to be defeated
abide,be faithful; to endure
limp,lacking strength; walking unevenly
abhor,to hate; to detest
aberration,straying away from what is normal
infuriate,fill with fury or rage
dormant,in a state of inactivity but awaiting development
dangle,hand or swing loosely
sluggard,lazy slow-moving person
vivacious,lively high-spirited
benefactor,person who has given help
turmoil,trouble disturbance
jabber,talk excitedly; utter rapidly
apartheid,brutal racial discrimination
endorse,write one's name on the back of
disproof,proof to the contrary
permeate,spread into every part of
stray,wander lose one's way
tractable,easily controlled or guided
elaborate,worked out with much care in great detail
dote,show much fondness center one's attention
yeoman,man owning small estate; middle-class farmer
gait,a manner of walking, stepping, or running"
repulsive,causing a feeling of disgust
negligent,taking too little care
bogus,sham; counterfeit; not genuine
antidote,medicine used against a poison or a disease
auxiliary,helping; supporting
brass,yellow metal (mixing copper and zinc)
fragile,easily injured broken or destroyed
dullard,a stupid, insensitive person"
conjoin,to join together
euphoria,elation state of pleasant excitement
solvent,of the power of forming a solution
bewilder,puzzle; confuse
engulf,swallow up
endeavor,to make an effort, to try very hard"
extinct,no longer active
presentiment,anticipatory fear; premonition
shard,A piece of broken pottery
immutable,that cannot be changed
lampoon,publicly mock or ridicule
knit,draw together; unite firmly
ameliorate,improve; make better
conceal,hide keep secret
embezzle,use in a wrong way for one's own benefit
foolproof,incapable of failure or error
eulogy,formal praise panegyric
offhand,Without preparation or forethought
skit,short piece of humorous writing
acclaimed,welcomed with shouts and approval
connoisseur,a person with good judgement (e.g.. in art)
complaisant,trying to please; obliging
succumb,yield, die"
sophisticated,complex; subtle; refined
plea,request
implicit,implied though; not plainly expressed
brittle,easily broken
precursors,a person or thing that precedes, as in a process or job."
malevolent,malicious; evil; having or showing ill will
affable,polite and friendly
alloy,to debase by mixing with something inferior
sheath,cover for the blade of a weapon or a tool
misanthrope,person who hates mankind
renowned,celebrated; famous
Lambaste,attack verbally
gullible,easily gulled
forgery,counterfeit
shunned,avoided, kept away from"
abscond,to go away suddenly (to avoid arrest)
suffice,be enough
disallow,refuse to allow or accept as a correct
livid,Furiously angry, enraged"
cordial,warm and sincere
retrospective,Looking back on past
parenthesis,sentence within another one something separated
anguish,severe suffering
repel,refuse to accept/cause dislike
clot,half-solid lump formed from liquid
eradicate,get rid of pull up by the roots
enduring,lasting
concur,agree in opinion happen together
introspection,examining one's own thoughts and feelings
indigenous,native
acumen,Keen, quick, accurate insight or judgment"
moderation,quality of being limited; not extreme
implosion,collapse; bursting inward
buoyant,able to float; light-hearted
